buyPrice,buyQuantity
0.66,30620
0.65,19103
0.64,11814
0.63,29905
0.62,26608
0.61,29266
0.6,61273
0.59,18077
0.58,22226
0.57,27434
0.55,27718
0.54,40113
0.53,91981
0.52,29590
0.51,39708
0.5,46215
0.49,23078
0.48,40685
0.47,23048
0.46,34976
0.43,54290
0.42,89823
0.41,21699
0.4,38281
0.39,29695
0.38,33229
0.37,18830
0.36,31792
0.35,51924
0.34,31953
0.32,33716
0.31,48735
0.3,30049
0.29,24163
0.28,11358
0.27,21296
0.26,20155
0.25,38978
0.24,13494
0.23,27164
0.21,59036
0.2,44040
0.19,16107
0.18,20565
0.17,12765
0.16,26546
0.15,23730
0.14,98221
0.13,94283
0.12,185981
0.11,99245
0.1,101989
0.09,143858
0.08,248489
0.07,264866
0.06,244715
0.05,519098
0.04,1275586
0.03,945126
