sellPrice,sellQuantity
0.69,68
0.7,291
0.71,244
0.72,147
0.73,174
0.74,658
0.75,693
0.76,1302
0.77,2021
0.78,1467
0.8,5136
0.81,3980
0.82,2567
0.83,4843
0.84,3529
0.85,5290
0.86,7821
0.87,3555
0.88,5021
0.89,5278
0.92,4223
0.93,2744
0.94,4851
0.95,1627
0.96,4733
0.97,3251
0.98,1879
0.99,4808
1.0,4259
1.01,2559
1.03,3471
1.04,3082
1.05,2842
1.06,1936
1.07,1741
1.08,2707
1.09,4498
1.1,4168
1.11,7426
1.12,3829
1.15,8292
1.16,2936
1.17,3838
1.18,3622
1.19,2864
1.2,4430
1.21,1788
1.22,1651
1.23,2038
1.24,12268
1.26,3251
1.27,2646
1.28,4770
1.29,1939
1.3,4424
1.31,2109
1.32,1151
1.33,1382
1.34,1471
1.35,1301
